arm,image,ssim_adv,ssim_pur,floor,R_pipe,engaged
N_no_wash,1233476865_1.png,0.5018,0.5018,0.4721,0.0,False
N_no_wash,1525918600_1.png,0.6372,0.6372,0.4149,0.0,False
N_no_wash,178046512_1.png,0.537,0.537,0.48,0.0,False
N_no_wash,181707205_1.png,0.6453,0.6453,0.562,0.0,False
N_no_wash,1961032923_1.png,0.6966,0.6966,0.7067,0.0,True
N_no_wash,2061993362_1.png,0.4656,0.4656,0.436,0.0,False
N_no_wash,2099073485_1.png,0.5401,0.5401,0.3757,0.0,False
N_no_wash,2139626906_1.png,0.3837,0.3837,0.3165,0.0,False
N_no_wash,2167874246_1.png,0.4346,0.4346,0.2849,0.0,False
N_no_wash,221629697_1.png,0.5178,0.5178,0.3159,0.0,False
