pg_eps,pg_step_size,image,L2,Linf_levels,shield_lpips
16,1,1233476865_1.png,2647.0,51.0,0.0187
16,1,1525918600_1.png,1851.6,63.0,0.0166
16,1,178046512_1.png,3251.7,61.0,0.0388
16,1,181707205_1.png,5344.9,62.0,0.0517
16,1,1961032923_1.png,3862.0,60.0,0.074
16,1,2061993362_1.png,1689.2,39.0,0.0208
16,1,2099073485_1.png,1903.0,60.0,0.0105
16,1,2139626906_1.png,6413.8,62.0,0.0679
16,1,2167874246_1.png,2901.4,61.0,0.0349
16,1,221629697_1.png,2097.5,64.0,0.0082
16,2,1233476865_1.png,2951.2,52.0,0.0413
16,2,1525918600_1.png,2277.4,59.0,0.0269
16,2,178046512_1.png,3489.7,61.0,0.0592
16,2,181707205_1.png,5472.8,62.0,0.0645
16,2,1961032923_1.png,4039.9,69.0,0.1031
16,2,2061993362_1.png,2061.5,52.0,0.0541
16,2,2099073485_1.png,2309.1,60.0,0.0215
16,2,2139626906_1.png,6542.9,78.0,0.0767
16,2,2167874246_1.png,3193.5,76.0,0.0542
16,2,221629697_1.png,2488.6,64.0,0.0165
16,4,1233476865_1.png,3068.6,79.0,0.0584
16,4,1525918600_1.png,2445.1,121.0,0.0306
16,4,178046512_1.png,3568.5,81.0,0.0674
16,4,181707205_1.png,5527.6,62.0,0.0713
16,4,1961032923_1.png,4188.3,60.0,0.1385
16,4,2061993362_1.png,2351.2,49.0,0.0774
16,4,2099073485_1.png,2446.4,92.0,0.0275
16,4,2139626906_1.png,6564.0,124.0,0.0812
16,4,2167874246_1.png,3287.0,70.0,0.0568
16,4,221629697_1.png,2638.0,77.0,0.0225
16,8,1233476865_1.png,3100.5,87.0,0.0642
16,8,1525918600_1.png,2455.5,64.0,0.0361
16,8,178046512_1.png,3561.3,83.0,0.0659
16,8,181707205_1.png,5541.5,90.0,0.0704
16,8,1961032923_1.png,4204.6,87.0,0.1359
16,8,2061993362_1.png,2354.3,108.0,0.0779
16,8,2099073485_1.png,2500.9,97.0,0.0361
16,8,2139626906_1.png,6559.9,126.0,0.0823
16,8,2167874246_1.png,3335.5,67.0,0.0635
16,8,221629697_1.png,2612.9,91.0,0.0204
64,4,1233476865_1.png,3757.2,127.0,0.0961
64,4,1525918600_1.png,3300.0,121.0,0.0576
64,4,178046512_1.png,4094.3,83.0,0.1001
64,4,181707205_1.png,5883.1,88.0,0.0993
64,4,1961032923_1.png,4595.9,98.0,0.1812
64,4,2061993362_1.png,2904.7,119.0,0.0996
64,4,2099073485_1.png,3345.6,103.0,0.0618
64,4,2139626906_1.png,6870.0,130.0,0.0977
64,4,2167874246_1.png,3918.0,122.0,0.0858
64,4,221629697_1.png,3358.8,111.0,0.0399
256,4,1233476865_1.png,3758.0,117.0,0.0975
256,4,1525918600_1.png,3302.0,105.0,0.0592
256,4,178046512_1.png,4120.2,105.0,0.1015
256,4,181707205_1.png,5891.0,83.0,0.1056
256,4,1961032923_1.png,4607.4,84.0,0.176
256,4,2061993362_1.png,2941.8,84.0,0.1073
256,4,2099073485_1.png,3301.7,103.0,0.0577
256,4,2139626906_1.png,6884.4,129.0,0.1003
256,4,2167874246_1.png,3922.7,104.0,0.0853
256,4,221629697_1.png,3354.6,102.0,0.0375
