pg_eps,pg_step_size,image,ssim_adv,floor,margin,verdict
16,1,1233476865_1.png,0.5534,0.4721,0.0813,BLIND
16,1,1525918600_1.png,0.6373,0.4149,0.2224,BLIND
16,1,178046512_1.png,0.5477,0.48,0.0677,BLIND
16,1,181707205_1.png,0.5915,0.562,0.0295,BLIND
16,1,1961032923_1.png,0.716,0.7067,0.0093,INDETERMINATE
16,1,2061993362_1.png,0.5047,0.436,0.0687,BLIND
16,1,2099073485_1.png,0.5335,0.3757,0.1578,BLIND
16,1,2139626906_1.png,0.3808,0.3165,0.0643,BLIND
16,1,2167874246_1.png,0.4118,0.2849,0.1269,BLIND
16,1,221629697_1.png,0.5241,0.3159,0.2082,BLIND
16,2,1233476865_1.png,0.5509,0.4721,0.0788,BLIND
16,2,1525918600_1.png,0.5729,0.4149,0.158,BLIND
16,2,178046512_1.png,0.485,0.48,0.005,INDETERMINATE
16,2,181707205_1.png,0.6278,0.562,0.0658,BLIND
16,2,1961032923_1.png,0.6676,0.7067,-0.0391,ENGAGED
16,2,2061993362_1.png,0.4698,0.436,0.0338,BLIND
16,2,2099073485_1.png,0.4982,0.3757,0.1225,BLIND
16,2,2139626906_1.png,0.3934,0.3165,0.0769,BLIND
16,2,2167874246_1.png,0.4754,0.2849,0.1905,BLIND
16,2,221629697_1.png,0.4538,0.3159,0.1379,BLIND
16,4,1233476865_1.png,0.5282,0.4721,0.0561,BLIND
16,4,1525918600_1.png,0.6497,0.4149,0.2348,BLIND
16,4,178046512_1.png,0.5014,0.48,0.0214,BLIND
16,4,181707205_1.png,0.5858,0.562,0.0238,BLIND
16,4,1961032923_1.png,0.6703,0.7067,-0.0364,ENGAGED
16,4,2061993362_1.png,0.461,0.436,0.025,BLIND
16,4,2099073485_1.png,0.518,0.3757,0.1423,BLIND
16,4,2139626906_1.png,0.3877,0.3165,0.0712,BLIND
16,4,2167874246_1.png,0.3694,0.2849,0.0845,BLIND
16,4,221629697_1.png,0.4692,0.3159,0.1533,BLIND
16,8,1233476865_1.png,0.4825,0.4721,0.0104,BLIND
16,8,1525918600_1.png,0.5878,0.4149,0.1729,BLIND
16,8,178046512_1.png,0.5171,0.48,0.0371,BLIND
16,8,181707205_1.png,0.5904,0.562,0.0284,BLIND
16,8,1961032923_1.png,0.6583,0.7067,-0.0484,ENGAGED
16,8,2061993362_1.png,0.4279,0.436,-0.0081,INDETERMINATE
16,8,2099073485_1.png,0.5268,0.3757,0.1511,BLIND
16,8,2139626906_1.png,0.3658,0.3165,0.0493,BLIND
16,8,2167874246_1.png,0.5026,0.2849,0.2177,BLIND
16,8,221629697_1.png,0.364,0.3159,0.0481,BLIND
64,4,1233476865_1.png,0.4381,0.4721,-0.034,ENGAGED
64,4,1525918600_1.png,0.5627,0.4149,0.1478,BLIND
64,4,178046512_1.png,0.4917,0.48,0.0117,BLIND
64,4,181707205_1.png,0.5787,0.562,0.0167,BLIND
64,4,1961032923_1.png,0.6423,0.7067,-0.0644,ENGAGED
64,4,2061993362_1.png,0.4606,0.436,0.0246,BLIND
64,4,2099073485_1.png,0.3933,0.3757,0.0176,BLIND
64,4,2139626906_1.png,0.3516,0.3165,0.0351,BLIND
64,4,2167874246_1.png,0.4234,0.2849,0.1385,BLIND
64,4,221629697_1.png,0.3581,0.3159,0.0422,BLIND
256,4,1233476865_1.png,0.4763,0.4721,0.0042,INDETERMINATE
256,4,1525918600_1.png,0.5667,0.4149,0.1518,BLIND
256,4,178046512_1.png,0.5042,0.48,0.0242,BLIND
256,4,181707205_1.png,0.5924,0.562,0.0304,BLIND
256,4,1961032923_1.png,0.6739,0.7067,-0.0328,ENGAGED
256,4,2061993362_1.png,0.4415,0.436,0.0055,INDETERMINATE
256,4,2099073485_1.png,0.418,0.3757,0.0423,BLIND
256,4,2139626906_1.png,0.307,0.3165,-0.0095,INDETERMINATE
256,4,2167874246_1.png,0.4162,0.2849,0.1313,BLIND
256,4,221629697_1.png,0.3228,0.3159,0.0069,INDETERMINATE
