arm,image,ssim_adv,ssim_pur,floor,R_pipe,margin,verdict,engaged
B_impress_1000,1233476865_1.png,0.5718,0.6012,0.4721,6.86,0.0997,BLIND,False
B_impress_1000,1525918600_1.png,0.671,0.6947,0.4149,7.19,0.2561,BLIND,False
B_impress_1000,178046512_1.png,0.5496,0.5283,0.48,-4.72,0.0696,BLIND,False
B_impress_1000,181707205_1.png,0.6258,0.5834,0.562,-11.31,0.0638,BLIND,False
B_impress_1000,1961032923_1.png,0.7029,0.6937,0.7067,-3.07,-0.0038,INDETERMINATE,False
B_impress_1000,2061993362_1.png,0.5004,0.5027,0.436,0.46,0.0644,BLIND,False
B_impress_1000,2099073485_1.png,0.5525,0.5583,0.3757,1.29,0.1768,BLIND,False
B_impress_1000,2139626906_1.png,0.366,0.3932,0.3165,4.28,0.0495,BLIND,False
B_impress_1000,2167874246_1.png,0.46,0.4357,0.2849,-4.49,0.1751,BLIND,False
B_impress_1000,221629697_1.png,0.505,0.3845,0.3159,-24.35,0.1891,BLIND,False
