image,L2_eps16,L2_eps64,growth_pct,Linf,ssim_adv,floor,engaged
1233476865_1.png,3075.9,3780.1,22.9,102.0,0.4441,0.4721,True
1525918600_1.png,2457.6,3298.5,34.2,104.0,0.5806,0.4149,False
178046512_1.png,3566.9,4077.5,14.3,110.0,0.4859,0.48,False
181707205_1.png,5521.4,5881.7,6.5,74.0,0.5718,0.562,False
1961032923_1.png,4183.0,4612.0,10.3,96.0,0.6571,0.7067,True
2061993362_1.png,2344.2,2875.2,22.7,76.0,0.4651,0.436,False
2099073485_1.png,2440.9,3358.5,37.6,123.0,0.4477,0.3757,False
2139626906_1.png,6561.9,6891.1,5.0,91.0,0.3501,0.3165,False
2167874246_1.png,3302.8,3940.9,19.3,94.0,0.4875,0.2849,False
221629697_1.png,2614.5,3339.4,27.7,97.0,0.4845,0.3159,False
