setting,image,shield_lpips
eps16_step1,1233476865_1.png,0.0195
eps16_step1,1525918600_1.png,0.0155
eps16_step1,178046512_1.png,0.0392
eps16_step1,181707205_1.png,0.051
eps16_step1,1961032923_1.png,0.0753
eps16_step1,2061993362_1.png,0.0208
eps16_step1,2099073485_1.png,0.0108
eps16_step1,2139626906_1.png,0.0678
eps16_step1,2167874246_1.png,0.0336
eps16_step1,221629697_1.png,0.0087
eps16_step2,1233476865_1.png,0.0486
eps16_step2,1525918600_1.png,0.028
eps16_step2,178046512_1.png,0.0555
eps16_step2,181707205_1.png,0.0636
eps16_step2,1961032923_1.png,0.1095
eps16_step2,2061993362_1.png,0.049
eps16_step2,2099073485_1.png,0.0217
eps16_step2,2139626906_1.png,0.0789
eps16_step2,2167874246_1.png,0.0536
eps16_step2,221629697_1.png,0.0175
eps16_step4,1233476865_1.png,0.0556
eps16_step4,1525918600_1.png,0.035
eps16_step4,178046512_1.png,0.0625
eps16_step4,181707205_1.png,0.0719
eps16_step4,1961032923_1.png,0.1323
eps16_step4,2061993362_1.png,0.0755
eps16_step4,2099073485_1.png,0.0259
eps16_step4,2139626906_1.png,0.0783
eps16_step4,2167874246_1.png,0.0575
eps16_step4,221629697_1.png,0.0208
eps16_step8,1233476865_1.png,0.0578
eps16_step8,1525918600_1.png,0.0338
eps16_step8,178046512_1.png,0.0692
eps16_step8,181707205_1.png,0.0773
eps16_step8,1961032923_1.png,0.138
eps16_step8,2061993362_1.png,0.0773
eps16_step8,2099073485_1.png,0.0329
eps16_step8,2139626906_1.png,0.0834
eps16_step8,2167874246_1.png,0.0617
eps16_step8,221629697_1.png,0.0198
eps64_step4,1233476865_1.png,0.104
eps64_step4,1525918600_1.png,0.0553
eps64_step4,178046512_1.png,0.0959
eps64_step4,181707205_1.png,0.1019
eps64_step4,1961032923_1.png,0.1746
eps64_step4,2061993362_1.png,0.1027
eps64_step4,2099073485_1.png,0.0574
eps64_step4,2139626906_1.png,0.0977
eps64_step4,2167874246_1.png,0.0836
eps64_step4,221629697_1.png,0.0387
eps256_step4,1233476865_1.png,0.0932
eps256_step4,1525918600_1.png,0.0548
eps256_step4,178046512_1.png,0.1027
eps256_step4,181707205_1.png,0.1001
eps256_step4,1961032923_1.png,0.1777
eps256_step4,2061993362_1.png,0.1043
eps256_step4,2099073485_1.png,0.058
eps256_step4,2139626906_1.png,0.0978
eps256_step4,2167874246_1.png,0.09
eps256_step4,221629697_1.png,0.0398
