setting,image,L2,Linf_levels,mean_abs_levels
step1,1233476865_1.png,2644.8,51.0,0.925
step1,1525918600_1.png,1854.2,65.0,0.515
step1,178046512_1.png,3254.6,61.0,1.219
step1,181707205_1.png,5343.8,62.0,2.151
step1,1961032923_1.png,3863.0,60.0,1.178
step1,2061993362_1.png,1707.5,46.0,0.665
step1,2099073485_1.png,1919.7,60.0,0.628
step1,2139626906_1.png,6418.1,62.0,2.134
step1,2167874246_1.png,2899.1,61.0,0.711
step1,221629697_1.png,2107.3,64.0,0.559
step2,1233476865_1.png,2962.9,80.0,1.198
step2,1525918600_1.png,2293.2,78.0,0.773
step2,178046512_1.png,3477.0,61.0,1.468
step2,181707205_1.png,5482.8,62.0,2.429
step2,1961032923_1.png,4048.1,102.0,1.428
step2,2061993362_1.png,2034.2,44.0,0.881
step2,2099073485_1.png,2296.8,67.0,0.832
step2,2139626906_1.png,6553.7,62.0,2.365
step2,2167874246_1.png,3201.6,82.0,0.94
step2,221629697_1.png,2461.9,64.0,0.75
step4,1233476865_1.png,3075.9,71.0,1.289
step4,1525918600_1.png,2457.6,119.0,0.842
step4,178046512_1.png,3566.9,65.0,1.558
step4,181707205_1.png,5521.4,65.0,2.477
step4,1961032923_1.png,4183.0,82.0,1.604
step4,2061993362_1.png,2344.2,57.0,1.048
step4,2099073485_1.png,2440.9,90.0,0.9
step4,2139626906_1.png,6561.9,68.0,2.372
step4,2167874246_1.png,3302.8,73.0,1.007
step4,221629697_1.png,2614.5,97.0,0.832
step8,1233476865_1.png,3099.2,100.0,1.237
step8,1525918600_1.png,2452.3,108.0,0.843
step8,178046512_1.png,3558.4,61.0,1.522
step8,181707205_1.png,5551.4,154.0,2.419
step8,1961032923_1.png,4198.6,94.0,1.577
step8,2061993362_1.png,2386.0,82.0,1.011
step8,2099073485_1.png,2493.1,105.0,0.898
step8,2139626906_1.png,6565.2,120.0,2.357
step8,2167874246_1.png,3317.2,203.0,0.991
step8,221629697_1.png,2603.5,83.0,0.783
