pg_step_size,image,ssim_adv,floor,margin,engaged,drop_vs_step1
2,1233476865_1.png,0.5091,0.4721,0.037,False,-0.0073
2,1525918600_1.png,0.5567,0.4149,0.1418,False,0.0805
2,178046512_1.png,0.5376,0.48,0.0576,False,-0.0006
2,181707205_1.png,0.6006,0.562,0.0386,False,0.0447
2,1961032923_1.png,0.6943,0.7067,-0.0124,True,0.0023
2,2061993362_1.png,0.4905,0.436,0.0545,False,-0.0249
2,2099073485_1.png,0.5042,0.3757,0.1285,False,0.0359
2,2139626906_1.png,0.3709,0.3165,0.0544,False,0.0128
2,2167874246_1.png,0.4264,0.2849,0.1415,False,0.0082
2,221629697_1.png,0.5203,0.3159,0.2044,False,-0.0025
4,1233476865_1.png,0.4862,0.4721,0.0141,False,0.0156
4,1525918600_1.png,0.6523,0.4149,0.2374,False,-0.0151
4,178046512_1.png,0.5194,0.48,0.0394,False,0.0176
4,181707205_1.png,0.5743,0.562,0.0123,False,0.071
4,1961032923_1.png,0.6698,0.7067,-0.0369,True,0.0268
4,2061993362_1.png,0.4749,0.436,0.0389,False,-0.0093
4,2099073485_1.png,0.5127,0.3757,0.137,False,0.0274
4,2139626906_1.png,0.3746,0.3165,0.0581,False,0.0091
4,2167874246_1.png,0.5004,0.2849,0.2155,False,-0.0658
4,221629697_1.png,0.3992,0.3159,0.0833,False,0.1186
8,1233476865_1.png,0.5101,0.4721,0.038,False,-0.0083
8,1525918600_1.png,0.664,0.4149,0.2491,False,-0.0268
8,178046512_1.png,0.4909,0.48,0.0109,False,0.0461
8,181707205_1.png,0.5761,0.562,0.0141,False,0.0692
8,1961032923_1.png,0.6982,0.7067,-0.0085,True,-0.0016
8,2061993362_1.png,0.47,0.436,0.034,False,-0.0044
8,2099073485_1.png,0.4855,0.3757,0.1098,False,0.0546
8,2139626906_1.png,0.3859,0.3165,0.0694,False,-0.0022
8,2167874246_1.png,0.4814,0.2849,0.1965,False,-0.0468
8,221629697_1.png,0.3724,0.3159,0.0565,False,0.1454
